registration_no,registration_no_raw,authority_code,service_type_code,serial_no,pref,transport_type,operator_type,org_name,org_address,org_address_raw,service_area,service_area_raw,service_area_municipalities,registered_date,renewed_date,valid_from,valid_to,scope_i_physical,scope_ro_mental,scope_ha_intellectual,scope_ni_care,scope_ho_support,scope_he_checklist,scope_to_other,office_name,office_location,partner_operator_name,partner_operator_address,vehicles_total,vehicles_total_kei,source_pdf,source_page,flags
中山福第1号,中山福第１号,中山,福,1,山口県,福祉有償運送,NPO等,特定非営利活動法人 豆たん,下関市古屋町2丁目4-8,下関市古屋町２丁目４－８,下関市全域(離島を除く),下関市全域（離島を除く）,下関市,,2024-04-24,2024-04-24,2027-04-23,1,0,0,1,1,1,0,豆たん介護センター,下関市内日下１０２７－３,,,3,2,000271730.pdf,1,
中山福第3号,中山福第3号,中山,福,3,山口県,福祉有償運送,NPO等,特定非営利活動法人 らいと,下関市秋根南町1丁目1-5,下関市秋根南町１丁目１－５,下関市,下関市,下関市,,2024-10-11,2024-10-11,2027-10-10,1,0,0,1,0,0,0,特定非営利活動法人 らいと,下関市秋根南町１丁目１－５,,,10,7,000271730.pdf,2,
中山福第4号,中山福第４号,中山,福,4,山口県,福祉有償運送,NPO等,社会福祉法人 菊水会,下関市菊川町大字下岡枝1064,下関市菊川町大字下岡枝１０６４,下関市,下関市,下関市,2008-06-23,2025-06-23,2025-06-23,2028-06-22,0,0,0,0,0,0,0,まんてんの星,下関市菊川町大字田部５３６番地１,,,3,2,000271730.pdf,3,office_notation_diff
中山福第6号,中山福第６号,中山,福,6,山口県,福祉有償運送,NPO等,社会福祉法人 大島白壽會,山口県大島郡周防大島町大字西方1623番地の3,山口県大島郡周防大島町大字西方1623番地の３,周防大島町(平成16年10月1日付けで合併された旧東和町に限る),周防大島町（平成１６年１０月１日付けで合併された旧東和町に限る）,周防大島町,,2023-09-01,2023-09-01,2026-08-31,0,0,0,1,1,0,0,大島白壽會,山口県大島郡周防大島町大字西方1623番地の３,,,1,1,000271730.pdf,4,office_mismatch
中山市福第1号,中山市福第１号,中山,福,1,山口県,福祉有償運送,市町村営,山口市,山口市亀山町2−1,山口市亀山町２−１,山口市阿知須区域,山口市阿知須区域,山口市,,2023-10-01,2023-10-01,2026-09-30,1,1,1,1,1,1,0,社会福祉法人山口市社会福祉協議会阿知須出張所,山口市阿知須２７４０,,,1,1,000230003.pdf,1,office_mismatch
中山福第3号,中山福第３号,中山,福,3,山口県,福祉有償運送,市町村営,阿武町,阿武郡阿武町大字奈古2636,阿武郡阿武町大字奈古２６３６,阿武町,阿武町,阿武町,,2023-10-01,2023-10-01,2026-09-30,1,1,1,1,0,0,0,阿武町社会福祉協議会,阿武郡阿武町大字奈古３０８１−５,,,1,1,000230003.pdf,2,
中山市福第4号,中山市福第４号,中山,福,4,山口県,福祉有償運送,市町村営,下関市外出支援サービス事業,下関市南部町1番1号,下関市南部町１番１号,下関市,下関市,下関市,,2023-10-01,2023-10-01,2026-09-30,0,0,0,0,0,0,0,下関市菊川総合支所;下関市豊田総合支所;下関市豊浦総合支所;下関市豊北総合支所,下関市菊川町大字下岡枝１４８０番地１;下関市豊田町大字殿敷１９１８番地１;下関市豊浦町大字川棚６８９５番地１;下関市豊北町大字滝部３１４０番地１,,,4,2,000230003.pdf,3,
